,text,embeddings,distances
56,"April 3 – Russian invasion of Ukraine: As Russia's forces retreat from areas near Kyiv, it is accused by Ukraine of war crimes, amid mounting evidence of indiscriminate civilian killings, including the Bucha massacre.","[-0.01219661 -0.01235889  0.00537456 ...  0.01860324  0.01417637
  0.00661434]",0.1136166325325076
34,"March 2 – Russian invasion of Ukraine: Russia captures its first large city, the Black Sea port of Kherson, as shelling intensifies across many parts of Ukraine, including civilian areas.","[ 0.00069873 -0.01839943  0.0126504  ...  0.01600559  0.01424841
  0.01867956]",0.1138435398084051
163,"November 11 – Russian invasion of Ukraine: Ukrainian forces recapture Kherson, the only regional capital to be taken by Russia since the start of the war.","[-0.01230958 -0.01390749  0.01656015 ...  0.02328021  0.00708638
  0.01275169]",0.1175879214391713
155,"October 29 – Russian invasion of Ukraine: In response to an alleged Ukrainian drone attack against the Black Sea Fleet, Russia withdraw from a U.N.-brokered deal on the shipment of grain, which had brought down soaring global food prices.","[-0.00990201 -0.03036184  0.01550558 ...  0.01109675  0.01733664
  0.01241485]",0.1191082753894523
135,"September 21 – Russian invasion of Ukraine: Following a major counteroffensive by Ukraine in the east of the country, Putin announces a partial mobilisation of Russia and threatens nuclear retaliation, saying ""this is not a bluff"".","[-0.02544035 -0.02203042  0.01317994 ...  0.00380903  0.02001256
 -0.00914422]",0.1203579042037628
23,"February 21 – February 24 – Russian President Vladimir Putin signs a decree declaring the Luhansk People's Republic and Donetsk People's Republic as independent from Ukraine, and, despite international condemnation and sanctions, begins a full-scale invasion of Ukraine; at dawn on 24 February missiles strike Kyiv. Ukraine severs diplomatic relations with Russia, followed by the Federated States of Micronesia on 25 February.","[-0.01189002 -0.00686654  0.00487711 ...  0.00702623  0.02730647
  0.01104501]",0.1219424266887666
147,"October 8 – Russian invasion of Ukraine: An explosion occurs on the Crimean Bridge connecting Crimea and Russia, killing three and causing a partial collapse of the only road bridge between the Crimean Peninsula and the Russian mainland. Two days later, retaliatory missile strikes are conducted by Russia across Ukraine, the most widespread since the start of the invasion, notably including attacks on Kyiv.","[-0.01391915 -0.00824693  0.01066482 ...  0.00302399  0.01829748
  0.00600549]",0.1243151845088834
82,May 16 – Russian invasion of Ukraine: The Siege of Mariupol ends in a Russian victory as Ukrainian troops are evacuated from Mariupol.,"[-0.01832118 -0.00645652  0.01098248 ...  0.00638301  0.01685088
 -0.0091478 ]",0.1258888702990989
49,March 16 – Russian invasion of Ukraine: A Russian airstrike on the Mariupol Theatre in Mariupol kills an estimated 600 civilians sheltering inside.,"[-0.00890883 -0.00562189  0.00521986 ...  0.01020816  0.0163768
 -0.00047841]",0.1291171098239821
33,"March 1 – Russian invasion of Ukraine: In an emergency session, United Nations member states pass a resolution deploring Russia's invasion of Ukraine and calling for the immediate withdrawal of its forces.","[-0.00761008 -0.01613439  0.00343484 ... -0.00248358  0.02740143
 -0.00355394]",0.1293683790856143
